code,name,category,description,complexity,components,best_for,not_for,is_active,display_order
SPEAR,SPEAR,Specialised,Start - Provide - Explain - Ask - Rinse & Repeat,low,"[""Start"",""Provide"",""Explain"",""Ask""]",Everyday tasks and general purposes,Formal structured output,1,60
FEW_SHOT,Few-Shot,Specialised,Task - Demonstrations - Query,low,"[""Task"",""Demonstrations"",""Query""]",Classification and creative content,Novel unique tasks,1,61
ZERO_SHOT,Zero-Shot,Specialised,Direct instruction without examples,low,"[""Direct Instruction""]",Translation and factual queries,Tasks needing examples,1,62
ORID,ORID,Specialised,Objective - Reflective - Interpretive - Decisional,medium,"[""Objective"",""Reflective"",""Interpretive"",""Decisional""]",Group discussions and coaching,Individual solitary work,1,63
PAUSE,PAUSE,Specialised,Prepare - Assess - Uncover - Synthesize - Execute,medium,"[""Prepare"",""Assess"",""Uncover"",""Synthesize"",""Execute""]",Management decisions,Quick tactical decisions,1,64
ELICITATION,Elicitation,Specialised,Structured information extraction,medium,"[""Extraction"",""Structuring""]",Research and interviews,Synthesis and summarization,1,65
META_PROMPTING,Meta Prompting,Specialised,Prompt - Evaluate - Refine Prompt - Execute,high,"[""Prompt"",""Evaluate"",""Refine Prompt"",""Execute""]",Prompt optimisation and complex tasks,Simple straightforward tasks,1,66
ATOMIC_PROMPTING,Atomic Prompting,Visual & Dialogue,Detailed visual specifications,medium,"[""Visual Specs"",""Constraints"",""Style""]",Image generation (Midjourney and DALL-E),Text-only outputs,1,67
FIVE_WS_AND_ONE_H,Five Ws and One H,Visual & Dialogue,Who - What - When - Where - Why - How,low,"[""Who"",""What"",""When"",""Where"",""Why"",""How""]",Journalism and research,Hypothesis generation,1,68
MODERATE,MODERATE,Iterative Refinement,Moderate and balance perspectives,medium,"[""Moderation"",""Balance""]",Conflict resolution and perspective balancing,Advocacy and one-sided arguments,1,69
REFLEXION,REFLEXION,Iterative Refinement,Act - Evaluate - Reflect - Learn cycle,high,"[""Act"",""Evaluate"",""Reflect"",""Learn""]",Complex problem-solving,Simple immediate decisions,1,70
BLOOMS_TAXONOMY,BLOOMS_TAXONOMY,Educational & Learning,Remember - Understand - Apply - Analyze - Evaluate - Create,medium,"[""Remember"",""Understand"",""Apply"",""Analyze"",""Evaluate"",""Create""]",Educational content design,Entertainment,1,71
GOPA,GOPA,Strategic Analysis,Goals - Obstacles - Plans - Actions,low,"[""Goals"",""Obstacles"",""Plans"",""Actions""]",Goal-setting and planning,Exploration-only tasks,1,72
WHAT_IF,WHAT_IF,Creative & Innovation,Hypothetical scenario exploration,low,"[""Hypothetical"",""Scenarios""]",Creative scenarios,Risk minimization,1,73
